,event_no,category,element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,ANIMAL,dragonfly,ragonfly,dagonfly,drgonfly,draonfly,dragnfly,dragofly,dragonly,dragonfy,dragonfl,ddragonfly,drragonfly,draagonfly,draggonfly,dragoonfly,dragonnfly,dragonffly,dragonflly,dragonflyy,d ragonfly,dr agonfly,dra gonfly,drag onfly,drago nfly,dragon fly,dragonf ly,dragonfl y,rdagonfly,dargonfly,drgaonfly,draognfly,dragnofly,dragofnly,dragonlfy,dragonfyl,deragonfly,edragonfly,dsragonfly,sdragonfly,dxragonfly,xdragonfly,dcragonfly,cdragonfly,dfragonfly,fdragonfly,rdragonfly,dreagonfly,drdagonfly,drfagonfly,drtagonfly,dtragonfly,draqgonfly,drqagonfly,drawgonfly,drwagonfly,drasgonfly,drsagonfly,drazgonfly,drzagonfly,dragfonfly,drafgonfly,dragtonfly,dratgonfly,dragyonfly,draygonfly,draghonfly,drahgonfly,dragbonfly,drabgonfly,dragvonfly,dravgonfly,dragoinfly,dragionfly,dragoknfly,dragkonfly,dragolnfly,draglonfly,dragopnfly,dragponfly,dragonbfly,dragobnfly,dragonhfly,dragohnfly,dragonjfly,dragojnfly,dragonmfly,dragomnfly,dragonfdly,dragondfly,dragonfrly,dragonrfly,dragonftly,dragontfly,dragonfgly,dragongfly,dragonfvly,dragonvfly,dragonfcly,dragoncfly,dragonflky,dragonfkly,dragonfloy,dragonfoly,dragonflpy,dragonfply,dragonflyt,dragonflty,dragonflyg,dragonflgy,dragonflyh,dragonflhy,dragonflyu,dragonfluy,drag,drago,dragon,dragonf,,dragon f,dragon fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,39,OBJECT,drum,rum,dum,drm,dru,ddrum,drrum,druum,drumm,d rum,dr um,dru m,rdum,durm,drmu,derum,edrum,dsrum,sdrum,dxrum,xdrum,dcrum,cdrum,dfrum,fdrum,rdrum,dreum,drdum,drfum,drtum,dtrum,druym,dryum,druhm,drhum,drujm,drjum,druim,drium,drumn,drunm,drumj,drumk,drukm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,ANIMAL,duck,uck,dck,duk,duc,dduck,duuck,ducck,duckk,d uck,du ck,duc k,udck,dcuk,dukc,deuck,educk,dsuck,sduck,dxuck,xduck,dcuck,cduck,dfuck,fduck,druck,rduck,duyck,dyuck,duhck,dhuck,dujck,djuck,duick,diuck,ducxk,duxck,ducdk,dudck,ducfk,dufck,ducvk,duvck,duckm,ducmk,duckj,ducjk,ducki,ducik,ducko,ducok,duckl,duclk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,ANIMAL,elephant,lephant,eephant,elphant,elehant,elepant,elephnt,elephat,elephan,eelephant,ellephant,eleephant,elepphant,elephhant,elephaant,elephannt,elephantt,e lephant,el ephant,ele phant,elep hant,eleph ant,elepha nt,elephan t,leephant,eelphant,elpehant,elehpant,elepahnt,elephnat,elephatn,ewlephant,welephant,eslephant,selephant,edlephant,delephant,erlephant,relephant,elkephant,eklephant,eloephant,eolephant,elpephant,eplephant,elewphant,elwephant,elesphant,elsephant,eledphant,eldephant,elerphant,elrephant,elepohant,eleophant,eleplhant,elelphant,elephgant,elepghant,elephbant,elepbhant,elephnant,elepnhant,elephjant,elepjhant,elephuant,elepuhant,elephyant,elepyhant,elephaqnt,elephqant,elephawnt,elephwant,elephasnt,elephsant,elephaznt,elephzant,elephanbt,elephabnt,elephanht,elephahnt,elephanjt,elephajnt,elephanmt,elephamnt,elephantr,elephanrt,elephantf,elephanft,elephantg,elephangt,elephanty,elephanyt,ele,elep,eleph,elepha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,49,LOCATION,factory,actory,fctory,fatory,facory,factry,factoy,factor,ffactory,faactory,facctory,facttory,factoory,factorry,factoryy,f actory,fa ctory,fac tory,fact ory,facto ry,factor y,afctory,fcatory,fatcory,facotry,factroy,factoyr,fdactory,dfactory,fractory,rfactory,ftactory,tfactory,fgactory,gfactory,fvactory,vfactory,fcactory,cfactory,faqctory,fqactory,fawctory,fwactory,fasctory,fsactory,fazctory,fzactory,facxtory,faxctory,facdtory,fadctory,facftory,fafctory,facvtory,favctory,factrory,facrtory,factfory,factgory,facgtory,factyory,facytory,factoiry,factiory,factokry,factkory,factolry,factlory,factopry,factpory,factorey,factoery,factordy,factodry,factorfy,factofry,factorty,factotry,factoryt,factoryg,factorgy,factoryh,factorhy,factoryu,factoruy,fact,facto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,ANIMAL,fish,ish,fsh,fih,fis,ffish,fiish,fissh,fishh,f ish,fi sh,fis h,ifsh,fsih,fihs,fdish,dfish,frish,rfish,ftish,tfish,fgish,gfish,fvish,vfish,fcish,cfish,fiush,fuish,fijsh,fjish,fiksh,fkish,fiosh,foish,fiswh,fiwsh,fisah,fiash,fiszh,fizsh,fisxh,fixsh,fisdh,fidsh,fiseh,fiesh,fishg,fisgh,fishb,fisbh,fishn,fisnh,fishj,fisjh,fishu,fisuh,fishy,fisyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,ANIMAL,flamingo,lamingo,famingo,flmingo,flaingo,flamngo,flamigo,flamino,flaming,fflamingo,fllamingo,flaamingo,flammingo,flamiingo,flaminngo,flaminggo,flamingoo,f lamingo,fl amingo,fla mingo,flam ingo,flami ngo,flamin go,flaming o,lfamingo,falmingo,flmaingo,flaimngo,flamnigo,flamigno,flaminog,fdlamingo,dflamingo,frlamingo,rflamingo,ftlamingo,tflamingo,fglamingo,gflamingo,fvlamingo,vflamingo,fclamingo,cflamingo,flkamingo,fklamingo,floamingo,folamingo,flpamingo,fplamingo,flaqmingo,flqamingo,flawmingo,flwamingo,flasmingo,flsamingo,flazmingo,flzamingo,flamningo,flanmingo,flamjingo,flajmingo,flamkingo,flakmingo,flamiungo,flamuingo,flamijngo,flamikngo,flamiongo,flamoingo,flaminbgo,flamibngo,flaminhgo,flamihngo,flaminjgo,flaminmgo,flamimngo,flamingfo,flaminfgo,flamingto,flamintgo,flamingyo,flaminygo,flamingho,flamingbo,flamingvo,flaminvgo,flamingoi,flamingio,flamingok,flamingko,flamingol,flaminglo,flamingop,flamingpo,flam,flami,flamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,50,OBJECT,flower,lower,fower,flwer,floer,flowr,flowe,fflower,fllower,floower,flowwer,floweer,flowerr,f lower,fl ower,flo wer,flow er,flowe r,lfower,folwer,flwoer,floewr,flowre,fdlower,dflower,frlower,rflower,ftlower,tflower,fglower,gflower,fvlower,vflower,fclower,cflower,flkower,fklower,folower,flpower,fplower,floiwer,fliower,flokwer,flolwer,flopwer,flowqer,floqwer,flowaer,floawer,flowser,floswer,floewer,flowewr,flowesr,flowedr,flowder,flowrer,flowere,flowerd,flowerf,flowefr,flowert,flowetr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,13,LOCATION,forest,orest,frest,foest,forst,foret,fores,fforest,foorest,forrest,foreest,foresst,forestt,f orest,fo rest,for est,fore st,fores t,ofrest,froest,foerst,forset,forets,fdorest,dforest,frorest,rforest,ftorest,tforest,fgorest,gforest,fvorest,vforest,fcorest,cforest,foirest,fiorest,fokrest,fkorest,folrest,florest,foprest,fporest,foerest,fordest,fodrest,forfest,fofrest,fortest,fotrest,forewst,forwest,forsest,foredst,forerst,foreswt,foresat,foreast,foreszt,forezst,foresxt,forexst,foresdt,foreset,forestr,foresrt,forestf,foresft,forestg,foresgt,foresty,foresyt,fore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,ANIMAL,fox,,,,ffox,foox,foxx,f ox,fo x,ofx,fxo,fdox,dfox,frox,rfox,ftox,tfox,fgox,gfox,fvox,vfox,fcox,cfox,foix,fiox,fokx,fkox,folx,flox,fopx,fpox,foxz,fozx,foxs,fosx,foxd,fodx,foxc,focx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,ANIMAL,frog,rog,fog,frg,fro,ffrog,frrog,froog,frogg,f rog,fr og,fro g,rfog,forg,frgo,fdrog,dfrog,rfrog,ftrog,tfrog,fgrog,gfrog,fvrog,vfrog,fcrog,cfrog,freog,ferog,frdog,frfog,frtog,froig,friog,frokg,frkog,frolg,frlog,fropg,frpog,frogf,frofg,frogt,frotg,frogy,froyg,frogh,frohg,frogb,frobg,frogv,frovg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,20,LOCATION,garage,arage,grage,gaage,garge,garae,garag,ggarage,gaarage,garrage,garaage,garagge,garagee,g arage,ga rage,gar age,gara ge,garag e,agrage,graage,gaarge,gargae,garaeg,gfarage,fgarage,gtarage,tgarage,gyarage,ygarage,gharage,hgarage,gbarage,bgarage,gvarage,vgarage,gaqrage,gqarage,gawrage,gwarage,gasrage,gsarage,gazrage,gzarage,gareage,gaerage,gardage,gadrage,garfage,gafrage,gartage,gatrage,garaqge,garqage,garawge,garwage,garasge,garsage,garazge,garzage,garagfe,garafge,garagte,garatge,garagye,garayge,garaghe,garahge,garagbe,garabge,garagve,garavge,garagew,garagwe,garages,garagse,garaged,garagde,garager,garagre,gara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,11,LOCATION,garden,arden,grden,gaden,garen,gardn,garde,ggarden,gaarden,garrden,gardden,gardeen,gardenn,g arden,ga rden,gar den,gard en,garde n,agrden,graden,gadren,garedn,gardne,gfarden,fgarden,gtarden,tgarden,gyarden,ygarden,gharden,hgarden,gbarden,bgarden,gvarden,vgarden,gaqrden,gqarden,gawrden,gwarden,gasrden,gsarden,gazrden,gzarden,gareden,gaerden,gadrden,garfden,gafrden,gartden,gatrden,gardsen,garsden,gardxen,garxden,gardcen,garcden,gardfen,gardren,gardewn,gardwen,gardesn,gardedn,gardern,gardenb,gardebn,gardenh,gardehn,gardenj,gardejn,gardenm,gardemn,gard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,ANIMAL,giraffe,iraffe,graffe,giaffe,girffe,girafe,giraff,ggiraffe,giiraffe,girraffe,giraaffe,girafffe,giraffee,g iraffe,gi raffe,gir affe,gira ffe,giraf fe,giraff e,igraffe,griaffe,giarffe,girfafe,girafef,gfiraffe,fgiraffe,gtiraffe,tgiraffe,gyiraffe,ygiraffe,ghiraffe,hgiraffe,gbiraffe,bgiraffe,gviraffe,vgiraffe,giuraffe,guiraffe,gijraffe,gjiraffe,gikraffe,gkiraffe,gioraffe,goiraffe,gireaffe,gieraffe,girdaffe,gidraffe,girfaffe,gifraffe,girtaffe,gitraffe,giraqffe,girqaffe,girawffe,girwaffe,girasffe,girsaffe,girazffe,girzaffe,girafdfe,giradffe,girafrfe,girarffe,giraftfe,giratffe,girafgfe,giragffe,girafvfe,giravffe,girafcfe,giracffe,giraffde,giraffre,giraffte,giraffge,giraffve,giraffce,giraffew,giraffwe,giraffes,giraffse,giraffed,giraffer,gira,giraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,14,OBJECT,glasses,lasses,gasses,glsses,glases,glasss,glasse,gglasses,gllasses,glaasses,glassses,glassees,glassess,g lasses,gl asses,gla sses,glas ses,glass es,glasse s,lgasses,galsses,glsases,glasess,glassse,gflasses,fglasses,gtlasses,tglasses,gylasses,yglasses,ghlasses,hglasses,gblasses,bglasses,gvlasses,vglasses,glkasses,gklasses,gloasses,golasses,glpasses,gplasses,glaqsses,glqasses,glawsses,glwasses,glsasses,glazsses,glzasses,glaswses,glasases,glaszses,glasxses,glaxsses,glasdses,gladsses,glaseses,glaesses,glasswes,glassaes,glasszes,glassxes,glassdes,glassews,glasseds,glassers,glassres,glassesw,glassesa,glasseas,glassesz,glassezs,glassesx,glassexs,glassesd,glassese,glas,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,ANIMAL,goat,oat,gat,got,goa,ggoat,gooat,goaat,goatt,g oat,go at,goa t,ogat,gaot,gota,gfoat,fgoat,gtoat,tgoat,gyoat,ygoat,ghoat,hgoat,gboat,bgoat,gvoat,vgoat,goiat,gioat,gokat,gkoat,golat,gloat,gopat,gpoat,goaqt,goqat,goawt,gowat,goast,gosat,goazt,gozat,goatr,goart,goatf,goaft,goatg,goagt,goaty,goayt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,32,OBJECT,guitar,uitar,gitar,gutar,guiar,guitr,guita,gguitar,guuitar,guiitar,guittar,guitaar,guitarr,g uitar,gu itar,gui tar,guit ar,guita r,ugitar,giutar,gutiar,guiatr,guitra,gfuitar,fguitar,gtuitar,tguitar,gyuitar,yguitar,ghuitar,hguitar,gbuitar,bguitar,gvuitar,vguitar,guyitar,guhitar,gujitar,gjuitar,giuitar,guiutar,guijtar,guiktar,gukitar,guiotar,guoitar,guitrar,guirtar,guitfar,guiftar,guitgar,guigtar,guityar,guiytar,guitaqr,guitqar,guitawr,guitwar,guitasr,guitsar,guitazr,guitzar,guitare,guitaer,guitard,guitadr,guitarf,guitafr,guitart,guitatr,guit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,17,LOCATION,gym,,,,ggym,gyym,gymm,g ym,gy m,ygm,gmy,gfym,fgym,gtym,tgym,ygym,ghym,hgym,gbym,bgym,gvym,vgym,gytm,gygm,gyhm,gyum,guym,gymn,gynm,gymj,gyjm,gymk,gykm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,10,LOCATION,hairdressers,airdressers,hirdressers,hardressers,haidressers,hairressers,hairdessers,hairdrssers,hairdresers,hairdressrs,hairdresses,hairdresser,hhairdressers,haairdressers,haiirdressers,hairrdressers,hairddressers,hairdrressers,hairdreessers,hairdresssers,hairdresseers,hairdresserrs,hairdresserss,h airdressers,ha irdressers,hai rdressers,hair dressers,haird ressers,hairdr essers,hairdre ssers,hairdres sers,hairdress ers,hairdresse rs,hairdresser s,ahirdressers,hiardressers,haridressers,haidrressers,hairrdessers,hairderssers,hairdrsesers,hairdresesrs,hairdressres,hairdressesr,hgairdressers,ghairdressers,hbairdressers,bhairdressers,hnairdressers,nhairdressers,hjairdressers,jhairdressers,huairdressers,uhairdressers,hyairdressers,yhairdressers,haqirdressers,hqairdressers,hawirdressers,hwairdressers,hasirdressers,hsairdressers,hazirdressers,hzairdressers,haiurdressers,hauirdressers,haijrdressers,hajirdressers,haikrdressers,hakirdressers,haiordressers,haoirdressers,hairedressers,haierdressers,haidrdressers,hairfdressers,haifrdressers,hairtdressers,haitrdressers,hairderessers,hairdsressers,hairsdressers,hairdxressers,hairxdressers,hairdcressers,haircdressers,hairdfressers,hairdrdessers,hairdrfessers,hairdrtessers,hairdtressers,hairdrewssers,hairdrwessers,hairdrsessers,hairdredssers,hairdrerssers,hairdreswsers,hairdresasers,hairdreassers,hairdreszsers,hairdrezssers,hairdresxsers,hairdrexssers,hairdresdsers,hairdresesers,hairdresswers,hairdressaers,hairdresszers,hairdressxers,hairdressders,hairdressewrs,hairdressesrs,hairdressedrs,hairdressrers,hairdresseres,hairdresserds,hairdresserfs,hairdressefrs,hairdresserts,hairdressetrs,hairdressersw,hairdresserws,hairdressersa,hairdresseras,hairdressersz,hairdresserzs,hairdressersx,hairdresserxs,hairdressersd,hairdresserse,hair,haird,hairdr,hairdre,hairdres,hairdress,hairdresse,,hair d,hair dr,hair dre,hair dres,hair dress,hair dresse,hair dresser,hair dresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,54,OBJECT,hammer,ammer,hmmer,hamer,hammr,hamme,hhammer,haammer,hammmer,hammeer,hammerr,h ammer,ha mmer,ham mer,hamm er,hamme r,ahmmer,hmamer,hamemr,hammre,hgammer,ghammer,hbammer,bhammer,hnammer,nhammer,hjammer,jhammer,huammer,uhammer,hyammer,yhammer,haqmmer,hqammer,hawmmer,hwammer,hasmmer,hsammer,hazmmer,hzammer,hamnmer,hanmmer,hamjmer,hajmmer,hamkmer,hakmmer,hammner,hammjer,hammker,hammewr,hammwer,hammesr,hammser,hammedr,hammder,hammrer,hammere,hammerd,hammerf,hammefr,hammert,hammetr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,ANIMAL,hamster,amster,hmster,haster,hamter,hamser,hamstr,hamste,hhamster,haamster,hammster,hamsster,hamstter,hamsteer,hamsterr,h amster,ha mster,ham ster,hams ter,hamst er,hamste r,ahmster,hmaster,hasmter,hamtser,hamsetr,hamstre,hgamster,ghamster,hbamster,bhamster,hnamster,nhamster,hjamster,jhamster,huamster,uhamster,hyamster,yhamster,haqmster,hqamster,hawmster,hwamster,hasmster,hsamster,hazmster,hzamster,hamnster,hanmster,hamjster,hajmster,hamkster,hakmster,hamswter,hamwster,hamsater,hamaster,hamszter,hamzster,hamsxter,hamxster,hamsdter,hamdster,hamseter,hamester,hamstrer,hamsrter,hamstfer,hamsfter,hamstger,hamsgter,hamstyer,hamsyter,hamstewr,hamstwer,hamstesr,hamstser,hamstedr,hamstder,hamstere,hamsterd,hamsterf,hamstefr,hamstert,hamstetr,hams,hamst,hampster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,19,OBJECT,handbag,andbag,hndbag,hadbag,hanbag,handag,handbg,handba,hhandbag,haandbag,hanndbag,handdbag,handbbag,handbaag,handbagg,h andbag,ha ndbag,han dbag,hand bag,handb ag,handba g,ahndbag,hnadbag,hadnbag,hanbdag,handabg,handbga,hgandbag,ghandbag,hbandbag,bhandbag,hnandbag,nhandbag,hjandbag,jhandbag,huandbag,uhandbag,hyandbag,yhandbag,haqndbag,hqandbag,hawndbag,hwandbag,hasndbag,hsandbag,hazndbag,hzandbag,hanbdbag,habndbag,hanhdbag,hahndbag,hanjdbag,hajndbag,hanmdbag,hamndbag,handebag,hanedbag,handsbag,hansdbag,handxbag,hanxdbag,handcbag,hancdbag,handfbag,hanfdbag,handrbag,hanrdbag,handbvag,handvbag,handbgag,handgbag,handbhag,handhbag,handbnag,handnbag,handbaqg,handbqag,handbawg,handbwag,handbasg,handbsag,handbazg,handbzag,handbagf,handbafg,handbagt,handbatg,handbagy,handbayg,handbagh,handbahg,handbagb,handbabg,handbagv,handbavg,hand,handb,,hand b,hand ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,47,LOCATION,harbour,arbour,hrbour,habour,harour,harbur,harbor,harbou,hharbour,haarbour,harrbour,harbbour,harboour,harbouur,harbourr,h arbour,ha rbour,har bour,harb our,harbo ur,harbou r,ahrbour,hrabour,habrour,harobur,harbuor,harboru,hgarbour,gharbour,hbarbour,bharbour,hnarbour,nharbour,hjarbour,jharbour,huarbour,uharbour,hyarbour,yharbour,haqrbour,hqarbour,hawrbour,hwarbour,hasrbour,hsarbour,hazrbour,hzarbour,harebour,haerbour,hardbour,hadrbour,harfbour,hafrbour,hartbour,hatrbour,harbvour,harvbour,harbgour,hargbour,harbhour,harhbour,harbnour,harnbour,harboiur,harbiour,harbokur,harbkour,harbolur,harblour,harbopur,harbpour,harbouyr,harboyur,harbouhr,harbohur,harboujr,harbojur,harbouir,harboure,harbouer,harbourd,harboudr,harbourf,harboufr,harbourt,harboutr,harb,harbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,35,OBJECT,hat,,,,hhat,haat,hatt,h at,ha t,aht,hta,hgat,ghat,,,hnat,nhat,hjat,jhat,huat,uhat,hyat,yhat,haqt,hqat,hawt,hwat,hast,hsat,hazt,hzat,hatr,hart,hatf,haft,hatg,hagt,haty,hayt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25,OBJECT,headphones,eadphones,hadphones,hedphones,heaphones,headhones,headpones,headphnes,headphoes,headphons,headphone,hheadphones,heeadphones,heaadphones,headdphones,headpphones,headphhones,headphoones,headphonnes,headphonees,headphoness,h eadphones,he adphones,hea dphones,head phones,headp hones,headph ones,headpho nes,headphon es,headphone s,ehadphones,haedphones,hedaphones,heapdhones,headhpones,headpohnes,headphnoes,headphoens,headphonse,hgeadphones,gheadphones,hbeadphones,bheadphones,hneadphones,nheadphones,hjeadphones,jheadphones,hueadphones,uheadphones,hyeadphones,yheadphones,hewadphones,hweadphones,hesadphones,hseadphones,hedadphones,hdeadphones,heradphones,hreadphones,heaqdphones,heqadphones,heawdphones,heasdphones,heazdphones,hezadphones,headephones,heaedphones,headsphones,headxphones,heaxdphones,headcphones,heacdphones,headfphones,heafdphones,headrphones,heardphones,headpohones,headophones,headplhones,headlphones,headphgones,headpghones,headphbones,headpbhones,headphnones,headpnhones,headphjones,headpjhones,headphuones,headpuhones,headphyones,headpyhones,headphoines,headphiones,headphoknes,headphkones,headpholnes,headphlones,headphopnes,headphpones,headphonbes,headphobnes,headphonhes,headphohnes,headphonjes,headphojnes,headphonmes,headphomnes,headphonews,headphonwes,headphonses,headphoneds,headphondes,headphoners,headphonres,headphonesw,headphonesa,headphoneas,headphonesz,headphonezs,headphonesx,headphonexs,headphonesd,headphonese,headp,headph,headpho,headphon,,head p,head ph,head pho,head phon,head phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,ANIMAL,hippo,ippo,hppo,hipo,hipp,hhippo,hiippo,hipppo,hippoo,h ippo,hi ppo,hip po,hipp o,ihppo,hpipo,hipop,hgippo,ghippo,hbippo,bhippo,hnippo,nhippo,hjippo,jhippo,huippo,uhippo,hyippo,yhippo,hiuppo,hijppo,hikppo,hkippo,hioppo,hoippo,hipopo,hiplpo,hilppo,hipplo,hippoi,hippio,hippok,hippko,hippol,hippop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,ANIMAL,horse,orse,hrse,hose,hore,hors,hhorse,hoorse,horrse,horsse,horsee,h orse,ho rse,hor se,hors e,ohrse,hrose,hosre,hores,hgorse,ghorse,hborse,bhorse,hnorse,nhorse,hjorse,jhorse,huorse,uhorse,hyorse,yhorse,hoirse,hiorse,hokrse,hkorse,holrse,hlorse,hoprse,hporse,horese,hoerse,hordse,hodrse,horfse,hofrse,hortse,hotrse,horswe,horwse,horsae,horase,horsze,horzse,horsxe,horxse,horsde,horsew,horses,horsed,horser,horsre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,33,LOCATION,hospital,ospital,hspital,hopital,hosital,hosptal,hospial,hospitl,hospita,hhospital,hoospital,hosspital,hosppital,hospiital,hospittal,hospitaal,hospitall,h ospital,ho spital,hos pital,hosp ital,hospi tal,hospit al,hospita l,ohspital,hsopital,hopsital,hosiptal,hosptial,hospiatl,hospitla,hgospital,ghospital,hbospital,bhospital,hnospital,nhospital,hjospital,jhospital,huospital,uhospital,hyospital,yhospital,hoispital,hiospital,hokspital,hkospital,holspital,hlospital,hopspital,hpospital,hoswpital,howspital,hosapital,hoaspital,hoszpital,hozspital,hosxpital,hoxspital,hosdpital,hodspital,hosepital,hoespital,hospoital,hosopital,hosplital,hoslpital,hospiutal,hospuital,hospijtal,hospjital,hospiktal,hospkital,hospiotal,hospitral,hospirtal,hospitfal,hospiftal,hospitgal,hospigtal,hospityal,hospiytal,hospitaql,hospitqal,hospitawl,hospitwal,hospitasl,hospitsal,hospitazl,hospitzal,hospitalk,hospitakl,hospitalo,hospitaol,hospitalp,hospitapl,hosp,hospi,hospit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
